Impact_ID,Incident_ID,Impact_Type,Downtime_Hours,Records_Compromised,Compliance_Breach, Estimated_Cost_USD 
1,3599,Data Loss,110.85,204268,FALSE," $12,83,813.69 "
2,40994,Reputational,213.18,722068,FALSE," $51,25,339.23 "
3,38970,Data Loss,76.53,365242,TRUE," $4,93,824.09 "
4,24295,Data Loss,1.17,397554,FALSE," $15,46,954.66 "
5,20728,Reputational,178.93,15358,FALSE," $2,89,668.00 "
6,25774,System Downtime,137.85,61080,FALSE," $4,37,010.46 "
7,24637,Reputational,230.31,956724,TRUE," $70,36,635.90 "
8,2902,Data Loss,178.65,618982,FALSE," $45,77,682.73 "
9,7518,Financial,192.12,250896,FALSE," $18,04,378.10 "
10,1577,Financial,119.36,368676,FALSE," $19,70,927.72 "
11,24112,System Downtime,134.19,931076,FALSE," $41,09,427.77 "
12,47516,Data Loss,195.44,621367,FALSE," $12,30,145.03 "
13,18174,System Downtime,2.64,57516,FALSE," $2,10,535.77 "
14,6268,System Downtime,87.38,265467,FALSE," $1,87,056.82 "
15,34982,Data Loss,172.78,222996,TRUE," $16,74,276.24 "
16,29778,System Downtime,18.62,549695,FALSE," $13,81,646.97 "
17,29048,System Downtime,187.16,65071,FALSE," $3,65,469.85 "
18,41419,Data Loss,68.1,56315,FALSE," $2,49,406.96 "
19,26774,Data Loss,121.1,103504,FALSE," $4,55,096.35 "
20,45168,Data Loss,72.05,638520,TRUE," $44,17,332.20 "
21,26771,Reputational,236.83,271412,FALSE," $9,29,139.75 "
22,19718,System Downtime,162.93,210308,FALSE," $8,37,254.83 "
23,19994,Reputational,149.93,40131,FALSE," $1,76,030.82 "
24,9959,System Downtime,155.19,60396,FALSE," $3,34,639.21 "
25,30056,System Downtime,85.97,663861,FALSE," $35,18,502.16 "
26,24198,Data Loss,46.64,405576,TRUE," $11,46,615.63 "
27,45204,Reputational,237.24,30590,FALSE," $2,06,608.43 "
28,33064,Data Loss,187.84,615072,TRUE," $12,77,500.16 "
29,14956,Data Loss,219.32,632885,FALSE," $47,59,569.95 "
30,47338,Financial,47.72,345884,FALSE," $3,39,291.05 "
31,4388,Data Loss,83.6,672655,FALSE," $2,12,427.32 "
32,4505,Financial,96.33,436332,TRUE," $9,16,405.70 "
33,7608,Reputational,222.6,787869,FALSE," $21,13,404.29 "
34,4447,System Downtime,58.52,42248,FALSE," $1,91,348.53 "
