IncidentType_ID,Type_Name,Category,Severity_Level,Detection_Method
1,Phishing,External,Medium,SIEM
2,Malware,External,High,IDS
3,Ransomware,External,Critical,SIEM
4,DDoS,External,High,Network Monitoring
5,SQL Injection,External,High,WAF
6,Insider Threat,Internal,High,Manual Report
7,Credential Stuffing,External,Medium,Auth Logs
8,Misconfiguration,Internal,Medium,Audit
9,Zero-Day Exploit,External,Critical,Threat Intel
10,Phishing,External,Medium,SIEM
11,Malware,External,High,IDS
12,Ransomware,External,Critical,SIEM
13,DDoS,External,High,Network Monitoring
14,SQL Injection,External,High,WAF
15,Insider Threat,Internal,High,Manual Report
16,Credential Stuffing,External,Medium,Auth Logs
17,Misconfiguration,Internal,Medium,Audit
18,Zero-Day Exploit,External,Critical,Threat Intel
19,Phishing,External,Medium,SIEM
20,Malware,External,High,IDS
21,Ransomware,External,Critical,SIEM
22,DDoS,External,High,Network Monitoring
23,SQL Injection,External,High,WAF
24,Insider Threat,Internal,High,Manual Report
25,Credential Stuffing,External,Medium,Auth Logs
26,Misconfiguration,Internal,Medium,Audit
27,Zero-Day Exploit,External,Critical,Threat Intel
28,Phishing,External,Medium,SIEM
29,Malware,External,High,IDS
30,Ransomware,External,Critical,SIEM
31,DDoS,External,High,Network Monitoring
32,SQL Injection,External,High,WAF
33,Insider Threat,Internal,High,Manual Report
34,Credential Stuffing,External,Medium,Auth Logs
35,Misconfiguration,Internal,Medium,Audit
36,Zero-Day Exploit,External,Critical,Threat Intel
37,Phishing,External,Medium,SIEM
38,Malware,External,High,IDS
39,Ransomware,External,Critical,SIEM
40,DDoS,External,High,Network Monitoring
41,SQL Injection,External,High,WAF
42,Insider Threat,Internal,High,Manual Report
43,Credential Stuffing,External,Medium,Auth Logs
44,Misconfiguration,Internal,Medium,Audit
45,Zero-Day Exploit,External,Critical,Threat Intel
46,Phishing,External,Medium,SIEM
47,Malware,External,High,IDS
48,Ransomware,External,Critical,SIEM
49,DDoS,External,High,Network Monitoring
50,SQL Injection,External,High,WAF
51,Insider Threat,Internal,High,Manual Report
52,Credential Stuffing,External,Medium,Auth Logs
53,Misconfiguration,Internal,Medium,Audit
54,Zero-Day Exploit,External,Critical,Threat Intel
55,Phishing,External,Medium,SIEM
56,Malware,External,High,IDS
57,Ransomware,External,Critical,SIEM
58,DDoS,External,High,Network Monitoring
59,SQL Injection,External,High,WAF
60,Insider Threat,Internal,High,Manual Report
61,Credential Stuffing,External,Medium,Auth Logs
62,Misconfiguration,Internal,Medium,Audit
63,Zero-Day Exploit,External,Critical,Threat Intel
64,Phishing,External,Medium,SIEM
65,Malware,External,High,IDS
66,Ransomware,External,Critical,SIEM
67,DDoS,External,High,Network Monitoring
68,SQL Injection,External,High,WAF
69,Insider Threat,Internal,High,Manual Report
70,Credential Stuffing,External,Medium,Auth Logs
71,Misconfiguration,Internal,Medium,Audit
72,Zero-Day Exploit,External,Critical,Threat Intel
73,Phishing,External,Medium,SIEM
74,Malware,External,High,IDS
75,Ransomware,External,Critical,SIEM
76,DDoS,External,High,Network Monitoring
77,SQL Injection,External,High,WAF
78,Insider Threat,Internal,High,Manual Report
79,Credential Stuffing,External,Medium,Auth Logs
80,Misconfiguration,Internal,Medium,Audit
81,Zero-Day Exploit,External,Critical,Threat Intel
82,Phishing,External,Medium,SIEM
83,Malware,External,High,IDS
84,Ransomware,External,Critical,SIEM
85,DDoS,External,High,Network Monitoring
86,SQL Injection,External,High,WAF
87,Insider Threat,Internal,High,Manual Report
88,Credential Stuffing,External,Medium,Auth Logs
89,Misconfiguration,Internal,Medium,Audit
90,Zero-Day Exploit,External,Critical,Threat Intel
91,Phishing,External,Medium,SIEM
92,Malware,External,High,IDS
93,Ransomware,External,Critical,SIEM
94,DDoS,External,High,Network Monitoring
95,SQL Injection,External,High,WAF
96,Insider Threat,Internal,High,Manual Report
97,Credential Stuffing,External,Medium,Auth Logs
98,Misconfiguration,Internal,Medium,Audit
99,Zero-Day Exploit,External,Critical,Threat Intel
100,Phishing,External,Medium,SIEM
101,Malware,External,High,IDS
102,Ransomware,External,Critical,SIEM
103,DDoS,External,High,Network Monitoring
104,SQL Injection,External,High,WAF
105,Insider Threat,Internal,High,Manual Report
106,Credential Stuffing,External,Medium,Auth Logs
107,Misconfiguration,Internal,Medium,Audit
108,Zero-Day Exploit,External,Critical,Threat Intel
109,Phishing,External,Medium,SIEM
110,Malware,External,High,IDS
111,Ransomware,External,Critical,SIEM
112,DDoS,External,High,Network Monitoring
113,SQL Injection,External,High,WAF
114,Insider Threat,Internal,High,Manual Report
115,Credential Stuffing,External,Medium,Auth Logs
116,Misconfiguration,Internal,Medium,Audit
117,Zero-Day Exploit,External,Critical,Threat Intel
118,Phishing,External,Medium,SIEM
119,Malware,External,High,IDS
120,Ransomware,External,Critical,SIEM
121,DDoS,External,High,Network Monitoring
122,SQL Injection,External,High,WAF
123,Insider Threat,Internal,High,Manual Report
124,Credential Stuffing,External,Medium,Auth Logs
125,Misconfiguration,Internal,Medium,Audit
126,Zero-Day Exploit,External,Critical,Threat Intel
127,Phishing,External,Medium,SIEM
128,Malware,External,High,IDS
129,Ransomware,External,Critical,SIEM
130,DDoS,External,High,Network Monitoring
131,SQL Injection,External,High,WAF
132,Insider Threat,Internal,High,Manual Report
133,Credential Stuffing,External,Medium,Auth Logs
134,Misconfiguration,Internal,Medium,Audit
135,Zero-Day Exploit,External,Critical,Threat Intel
136,Phishing,External,Medium,SIEM
137,Malware,External,High,IDS
138,Ransomware,External,Critical,SIEM
139,DDoS,External,High,Network Monitoring
140,SQL Injection,External,High,WAF
141,Insider Threat,Internal,High,Manual Report
142,Credential Stuffing,External,Medium,Auth Logs
143,Misconfiguration,Internal,Medium,Audit
144,Zero-Day Exploit,External,Critical,Threat Intel
145,Phishing,External,Medium,SIEM
146,Malware,External,High,IDS
147,Ransomware,External,Critical,SIEM
148,DDoS,External,High,Network Monitoring
149,SQL Injection,External,High,WAF
150,Insider Threat,Internal,High,Manual Report
151,Credential Stuffing,External,Medium,Auth Logs
152,Misconfiguration,Internal,Medium,Audit
153,Zero-Day Exploit,External,Critical,Threat Intel
154,Phishing,External,Medium,SIEM
155,Malware,External,High,IDS
156,Ransomware,External,Critical,SIEM
157,DDoS,External,High,Network Monitoring
158,SQL Injection,External,High,WAF
159,Insider Threat,Internal,High,Manual Report
160,Credential Stuffing,External,Medium,Auth Logs
161,Misconfiguration,Internal,Medium,Audit
162,Zero-Day Exploit,External,Critical,Threat Intel
163,Phishing,External,Medium,SIEM
164,Malware,External,High,IDS
165,Ransomware,External,Critical,SIEM
166,DDoS,External,High,Network Monitoring
167,SQL Injection,External,High,WAF
168,Insider Threat,Internal,High,Manual Report
169,Credential Stuffing,External,Medium,Auth Logs
170,Misconfiguration,Internal,Medium,Audit
171,Zero-Day Exploit,External,Critical,Threat Intel
172,Phishing,External,Medium,SIEM
173,Malware,External,High,IDS
174,Ransomware,External,Critical,SIEM
175,DDoS,External,High,Network Monitoring
176,SQL Injection,External,High,WAF
177,Insider Threat,Internal,High,Manual Report
178,Credential Stuffing,External,Medium,Auth Logs
179,Misconfiguration,Internal,Medium,Audit
180,Zero-Day Exploit,External,Critical,Threat Intel
181,Phishing,External,Medium,SIEM
182,Malware,External,High,IDS
183,Ransomware,External,Critical,SIEM
184,DDoS,External,High,Network Monitoring
185,SQL Injection,External,High,WAF
186,Insider Threat,Internal,High,Manual Report
187,Credential Stuffing,External,Medium,Auth Logs
188,Misconfiguration,Internal,Medium,Audit
189,Zero-Day Exploit,External,Critical,Threat Intel
190,Phishing,External,Medium,SIEM
191,Malware,External,High,IDS
192,Ransomware,External,Critical,SIEM
193,DDoS,External,High,Network Monitoring
194,SQL Injection,External,High,WAF
195,Insider Threat,Internal,High,Manual Report
196,Credential Stuffing,External,Medium,Auth Logs
197,Misconfiguration,Internal,Medium,Audit
198,Zero-Day Exploit,External,Critical,Threat Intel
199,Phishing,External,Medium,SIEM
200,Malware,External,High,IDS
201,Ransomware,External,Critical,SIEM
