IncidentVector_ID,Incident_ID,Vector_ID,Attack_Success,Attempt_Count
1,28989,8879,FALSE,3
2,44602,42681,TRUE,1
3,49772,41090,FALSE,2
4,47381,29054,TRUE,4
5,12243,32319,FALSE,1
6,12735,17449,TRUE,4
7,26986,33126,TRUE,5
8,20165,14010,TRUE,5
9,22553,41501,FALSE,6
10,46823,1754,TRUE,6
11,43425,19322,TRUE,5
12,4178,8992,FALSE,7
13,27060,45884,FALSE,6
14,13977,18790,FALSE,7
15,16521,15394,FALSE,5
16,45346,36626,TRUE,5
17,3209,24254,FALSE,1
18,18267,35043,FALSE,7
19,10848,41779,TRUE,3
20,13050,49660,FALSE,1
21,41119,21565,FALSE,3
22,3349,25366,FALSE,2
23,33876,19520,FALSE,2
24,22458,17895,FALSE,7
25,47639,28999,FALSE,7
26,49829,1670,FALSE,2
27,36623,7107,FALSE,4
28,17347,11813,FALSE,6
29,17409,8496,TRUE,3
30,45960,28054,TRUE,8
31,26223,11721,TRUE,3
32,20698,31173,TRUE,1
33,6218,41337,FALSE,8
34,46836,20979,FALSE,2
35,41098,34701,TRUE,1
36,8536,41495,FALSE,6
37,15389,25783,FALSE,6
38,31403,36790,TRUE,3
39,25297,46895,TRUE,7
40,48661,39689,TRUE,4
41,3871,39978,FALSE,1
42,21879,28382,FALSE,5
43,28048,2375,FALSE,2
44,14571,12440,FALSE,2
45,10522,8805,FALSE,7
46,16396,32624,FALSE,2
47,6777,47489,FALSE,7
48,28864,42999,FALSE,3
49,10066,23407,FALSE,7
50,23092,23245,FALSE,7
51,47724,13568,TRUE,5
52,462,44883,FALSE,2
53,49089,34748,FALSE,1
54,26805,22392,FALSE,8
55,32261,18084,FALSE,8
56,38877,14305,FALSE,4
57,19398,8737,FALSE,4
58,20448,34979,TRUE,6
59,10897,30835,FALSE,5
60,24767,6888,FALSE,6
61,25486,19463,FALSE,3
62,19629,49630,FALSE,7
63,47427,3110,FALSE,7
64,22951,49758,TRUE,3
65,13239,7639,FALSE,3
66,36343,40878,FALSE,6
67,30237,44975,FALSE,4
68,28752,27305,TRUE,8
69,3915,3706,FALSE,7
70,34843,43897,TRUE,2
71,11320,40033,TRUE,3
72,16205,30639,FALSE,5
73,3485,3752,TRUE,5
74,14069,10536,FALSE,6
75,15342,41227,TRUE,4
76,17295,26325,FALSE,4
77,39313,47038,TRUE,1
78,390,43101,FALSE,2
79,29529,24885,FALSE,7
80,25376,38077,FALSE,2
81,17941,1837,TRUE,3
82,45598,10267,FALSE,1
83,3599,45427,FALSE,6
84,27026,45260,FALSE,1
85,11549,49582,FALSE,1
86,37043,10782,FALSE,4
87,26089,34267,FALSE,7
88,44315,48179,TRUE,4
89,31492,30973,FALSE,4
90,26507,35123,TRUE,7
91,618,44920,FALSE,7
92,28670,36497,FALSE,2
93,41350,5313,FALSE,5
94,23839,18657,FALSE,3
95,5477,32496,FALSE,8
96,26202,44078,TRUE,3
97,22454,27547,TRUE,4
98,7435,32139,TRUE,3
99,14644,37099,TRUE,3
