ResponseID,Incident_ID,ActionTaken,ResponsibleTeam,ActionDate,Response_Time_Hours,Resolution_Effectiveness,Follow_Up_Required
1,3915,Account Locked,Legal,,66.25,6,FALSE
2,39849,Backup Restored,Third-Party,24-12-2024,7.03,7,TRUE
3,44622,Forensic Analysis,Legal,16-10-2024,55.23,3,TRUE
4,36959,Backup Restored,Management,03-03-2025,104.27,3,FALSE
5,8253,Backup Restored,Management,08-07-2025,26.89,6,FALSE
6,49682,Backup Restored,SOC,25-10-2024,101.55,1,FALSE
7,16676,Password Reset,Legal,07-09-2023,66.13,3,FALSE
8,33847,Backup Restored,Management,04-09-2024,11.59,9,FALSE
9,5566,Patch Applied,IT,09-01-2024,112.83,3,FALSE
10,23600,Legal Notified,SOC,26-05-2025,86.02,5,TRUE
11,28031,Forensic Analysis,IT,13-11-2024,84.91,6,TRUE
12,26636,Patch Applied,IT,17-08-2023,50.39,7,FALSE
13,10415,Legal Notified,Third-Party,15-10-2024,31.06,8,FALSE
14,19953,Legal Notified,Legal,25-06-2023,91.73,9,FALSE
15,22321,Password Reset,Third-Party,06-03-2024,97.61,4,FALSE
16,34567,Legal Notified,SOC,,74.12,10,TRUE
17,1838,Password Reset,Management,08-01-2025,4.48,1,TRUE
18,15253,Forensic Analysis,Third-Party,28-05-2025,48.11,8,FALSE
19,10459,Backup Restored,SOC,06-12-2024,107.12,2,TRUE
20,9728,Legal Notified,Third-Party,,42.11,9,TRUE
21,49187,Legal Notified,Third-Party,19-07-2025,46.42,10,TRUE
22,43456,Forensic Analysis,Legal,08-08-2024,118.06,5,FALSE
23,14607,Forensic Analysis,Legal,22-11-2024,88.69,3,TRUE
24,3508,Forensic Analysis,Third-Party,26-11-2023,7.97,8,FALSE
25,28171,Forensic Analysis,SOC,01-09-2025,99.51,3,FALSE
26,47855,Backup Restored,SOC,13-09-2024,15.46,5,FALSE
27,49977,Patch Applied,Legal,06-06-2025,36.81,6,TRUE
28,1047,Forensic Analysis,SOC,10-12-2024,93.95,2,TRUE
29,39265,Backup Restored,SOC,05-02-2023,0.68,9,TRUE
30,42652,Password Reset,Legal,28-08-2023,12.87,7,FALSE
31,15434,Backup Restored,SOC,14-09-2025,112.83,7,TRUE
32,49384,Legal Notified,Management,04-03-2023,1.32,10,FALSE
33,8790,Backup Restored,Management,14-01-2024,64.38,7,TRUE
34,7447,Legal Notified,IT,15-08-2025,24.53,9,FALSE
35,10963,Forensic Analysis,Third-Party,24-12-2024,112.13,7,FALSE
36,17819,Account Locked,SOC,,23.88,2,FALSE
37,22221,Account Locked,Legal,24-04-2025,41.06,1,FALSE
38,1173,Backup Restored,SOC,25-01-2025,28.29,7,FALSE
39,45084,Patch Applied,Third-Party,26-08-2024,31.5,3,FALSE
40,3145,Legal Notified,Legal,18-05-2023,50.79,5,FALSE
41,2953,Password Reset,Management,03-08-2025,14.7,3,FALSE
42,37980,Password Reset,Management,20-12-2023,71.23,9,FALSE
43,7340,Password Reset,SOC,07-05-2025,91.04,6,TRUE
44,34422,Forensic Analysis,Legal,24-02-2023,83.41,6,FALSE
45,43473,Legal Notified,Legal,,78.4,2,TRUE
46,21169,Password Reset,Third-Party,,71.73,3,FALSE
47,29926,Backup Restored,Management,,1.91,10,FALSE
48,44986,Password Reset,Third-Party,20-11-2023,60.63,9,TRUE
49,7120,Legal Notified,IT,11-12-2024,5.07,10,FALSE
50,9275,Legal Notified,IT,12-02-2024,24.51,1,FALSE
51,44587,Patch Applied,Legal,30-07-2025,85,10,TRUE
52,29565,Forensic Analysis,SOC,,43.74,9,TRUE
53,20630,Backup Restored,Management,22-05-2025,1.5,9,TRUE
54,46577,Account Locked,SOC,08-04-2024,21.76,6,TRUE
55,29501,Patch Applied,IT,13-06-2024,49.99,3,FALSE
56,32467,Forensic Analysis,IT,21-01-2025,55.81,1,TRUE
57,21945,Forensic Analysis,Third-Party,15-03-2023,16.31,10,FALSE
58,47785,Legal Notified,Management,08-07-2024,82.03,5,FALSE
59,47462,Backup Restored,Management,12-04-2024,63.31,10,FALSE
60,4435,Legal Notified,SOC,07-08-2024,23.98,3,FALSE
61,35614,Account Locked,Third-Party,16-02-2025,114.96,3,FALSE
62,30312,Account Locked,IT,14-06-2023,13.56,4,TRUE
63,28402,Legal Notified,Third-Party,,73.78,5,TRUE
64,34246,Password Reset,Legal,26-08-2025,99.51,7,FALSE
65,19791,Account Locked,Third-Party,05-09-2024,110.9,5,FALSE
66,25124,Forensic Analysis,Legal,21-04-2024,77.75,6,TRUE
67,4229,Forensic Analysis,SOC,02-08-2025,28.23,2,FALSE
68,37330,Patch Applied,SOC,,24.56,7,FALSE
69,6481,Patch Applied,SOC,,13.01,9,FALSE
70,11995,Forensic Analysis,Management,12-01-2023,77.65,9,FALSE
71,34290,Backup Restored,SOC,,65.42,7,FALSE
72,35178,Patch Applied,Third-Party,04-06-2023,1.7,10,FALSE
73,28322,Forensic Analysis,SOC,04-12-2024,44.54,5,FALSE
74,44131,Patch Applied,SOC,21-09-2025,99.03,4,FALSE
75,42998,Password Reset,Third-Party,,40.26,10,FALSE
76,17787,Patch Applied,Legal,05-11-2024,15.75,1,FALSE
77,8781,Legal Notified,SOC,12-12-2023,118.28,8,FALSE
78,12724,Backup Restored,SOC,09-07-2025,78.51,7,FALSE
79,49210,Forensic Analysis,IT,03-10-2024,13.41,1,TRUE
80,34418,Account Locked,SOC,08-08-2024,75.67,9,FALSE
81,6125,Password Reset,IT,28-08-2025,22.25,2,FALSE
82,49097,Forensic Analysis,Third-Party,21-12-2022,8.81,6,TRUE
83,46862,Patch Applied,Management,,47.7,1,TRUE
84,7839,Forensic Analysis,Third-Party,,27.38,3,FALSE
85,41037,Forensic Analysis,IT,14-07-2025,74.25,10,FALSE
86,45932,Account Locked,Third-Party,23-09-2025,49.37,2,FALSE
87,16282,Account Locked,Legal,19-04-2025,93,3,TRUE
88,13033,Patch Applied,Third-Party,,5.55,2,FALSE
89,13589,Backup Restored,Legal,,103.91,4,FALSE
90,10604,Backup Restored,Legal,26-06-2025,42.75,9,TRUE
91,43876,Forensic Analysis,SOC,,38.18,1,FALSE
92,36449,Legal Notified,SOC,13-02-2025,86.59,8,TRUE
93,2751,Patch Applied,Management,,22.97,9,TRUE
94,1608,Patch Applied,SOC,,92.85,10,FALSE
95,19166,Account Locked,Management,02-02-2024,49.74,10,TRUE
96,832,Password Reset,SOC,07-04-2023,90.17,6,FALSE
97,12117,Patch Applied,Third-Party,23-07-2022,49.2,7,TRUE
98,773,Legal Notified,IT,20-04-2025,30.43,9,FALSE
99,33286,Account Locked,SOC,,40.78,2,FALSE
100,36252,Account Locked,SOC,18-08-2024,44.52,7,FALSE
101,9444,Password Reset,Legal,,77.4,10,TRUE
102,29399,Backup Restored,Third-Party,25-08-2024,62.23,4,TRUE
103,9431,Password Reset,SOC,13-06-2023,18.49,3,FALSE
104,48434,Legal Notified,IT,,81.85,9,TRUE
105,25258,Password Reset,Legal,23-09-2023,74.08,10,TRUE
106,47748,Backup Restored,Management,,10.47,3,FALSE
107,8430,Legal Notified,IT,,104.75,2,FALSE
108,35993,Patch Applied,Legal,,16.89,9,TRUE
109,49907,Account Locked,SOC,19-12-2023,93.28,6,FALSE
110,46848,Account Locked,IT,30-07-2024,72.77,9,TRUE
111,6359,Account Locked,Management,08-03-2025,65.15,5,FALSE
112,12367,Backup Restored,SOC,,72.61,2,FALSE
113,37201,Forensic Analysis,Legal,16-10-2025,108.82,2,TRUE
114,24855,Forensic Analysis,Management,17-02-2025,99.95,7,FALSE
115,44542,Legal Notified,Legal,,18.69,7,FALSE
116,47018,Password Reset,SOC,12-08-2024,65.14,3,TRUE
117,36831,Forensic Analysis,Management,,67.68,5,TRUE
118,28611,Backup Restored,IT,09-02-2025,115.18,7,TRUE
119,11511,Backup Restored,Legal,23-03-2024,93.16,3,FALSE
120,3078,Legal Notified,SOC,03-07-2024,7.62,6,FALSE
121,4222,Password Reset,IT,23-09-2025,96.05,6,TRUE
122,20512,Patch Applied,Management,17-04-2023,11.43,1,FALSE
123,46575,Backup Restored,SOC,,21.11,9,FALSE
124,41435,Patch Applied,Management,31-03-2025,36.75,6,TRUE
125,17248,Password Reset,Third-Party,,100.62,6,FALSE
126,24315,Legal Notified,Legal,18-10-2024,36.62,2,TRUE
127,20787,Account Locked,IT,11-11-2024,90.85,5,FALSE
128,44924,Backup Restored,SOC,28-03-2025,13.05,3,FALSE
129,47387,Forensic Analysis,Management,22-06-2023,81.23,1,FALSE
130,2570,Account Locked,IT,26-06-2024,56.23,10,FALSE
131,27511,Password Reset,Third-Party,01-04-2024,16.31,8,FALSE
132,26714,Backup Restored,Management,19-07-2025,37.78,4,FALSE
133,40644,Forensic Analysis,Legal,21-12-2024,2.66,5,FALSE
134,31900,Legal Notified,Third-Party,12-09-2025,14.51,8,FALSE
135,10944,Account Locked,Legal,,94.22,10,FALSE
136,30819,Account Locked,Legal,22-05-2025,50.05,6,FALSE
137,3981,Account Locked,Legal,,112.96,10,TRUE
138,32873,Legal Notified,Management,31-05-2025,112.36,1,FALSE
139,7345,Legal Notified,Management,,11.87,5,FALSE
140,23744,Patch Applied,Legal,25-03-2025,7.85,9,FALSE
141,42396,Password Reset,Management,22-07-2023,105.27,6,FALSE
142,45145,Backup Restored,Legal,14-05-2024,67.38,2,TRUE
143,39767,Backup Restored,Legal,08-08-2025,10.3,8,FALSE
144,25057,Backup Restored,Third-Party,21-06-2025,99.1,2,FALSE
145,39942,Password Reset,Third-Party,12-11-2023,55.93,5,TRUE
146,35832,Legal Notified,IT,23-05-2025,3.95,8,TRUE
147,39235,Password Reset,IT,05-05-2024,114.51,5,FALSE
148,25661,Forensic Analysis,IT,03-07-2025,21.99,7,FALSE
149,19161,Forensic Analysis,Management,30-07-2025,21.59,4,FALSE
150,41507,Legal Notified,Legal,,8.09,8,FALSE
151,38208,Legal Notified,Third-Party,16-05-2025,90.53,1,FALSE
152,26583,Forensic Analysis,Management,16-09-2024,9.61,10,TRUE
153,6501,Forensic Analysis,Management,22-08-2025,18.06,2,TRUE
154,22436,Forensic Analysis,SOC,30-04-2023,63.51,9,FALSE
155,16368,Legal Notified,Management,01-03-2024,44.73,4,FALSE
156,38681,Backup Restored,SOC,07-10-2024,94.98,6,FALSE
157,43210,Patch Applied,Legal,14-05-2025,2.3,6,FALSE
158,49717,Backup Restored,Legal,16-06-2025,40.59,1,FALSE
159,12225,Patch Applied,SOC,08-08-2023,29.48,7,FALSE
160,38041,Backup Restored,SOC,08-02-2024,108.07,7,TRUE
161,26665,Legal Notified,Management,07-03-2023,95.38,8,FALSE
162,26551,Legal Notified,Third-Party,10-02-2025,91.32,7,TRUE
163,2263,Forensic Analysis,Management,07-09-2025,50.94,10,TRUE
164,45213,Password Reset,IT,03-10-2022,49.87,1,FALSE
165,49233,Password Reset,Legal,06-09-2025,111.24,2,FALSE
166,49788,Patch Applied,IT,16-04-2024,60.91,3,FALSE
167,27090,Account Locked,Management,,14.61,8,FALSE
168,41071,Forensic Analysis,Legal,,117.62,5,FALSE
169,36480,Backup Restored,Legal,19-08-2025,113.62,7,FALSE
170,42352,Forensic Analysis,IT,25-02-2025,83.12,1,FALSE
171,22494,Backup Restored,IT,,33.27,4,FALSE
172,21309,Password Reset,IT,15-09-2025,72.24,2,TRUE
173,9087,Patch Applied,Third-Party,08-07-2023,39.72,1,FALSE
174,45040,Backup Restored,Legal,21-08-2025,6.42,3,FALSE
175,2735,Patch Applied,Management,,99.11,3,FALSE
176,43755,Patch Applied,IT,26-04-2024,0.21,1,TRUE
177,19655,Account Locked,Third-Party,16-09-2025,72.26,6,TRUE
178,35173,Account Locked,Management,23-11-2024,113.77,4,TRUE
179,14617,Backup Restored,Third-Party,28-09-2023,72.35,5,FALSE
180,8674,Backup Restored,Third-Party,13-09-2024,47.77,8,TRUE
181,16167,Legal Notified,SOC,31-12-2024,15.95,6,TRUE
182,31240,Forensic Analysis,Third-Party,07-12-2024,22.31,2,FALSE
183,11686,Password Reset,Management,17-07-2024,46.59,9,FALSE
184,21256,Patch Applied,SOC,,48.36,5,FALSE
185,37677,Account Locked,Management,27-03-2025,99.2,9,TRUE
186,48843,Patch Applied,SOC,01-03-2025,3.19,4,FALSE
187,39122,Forensic Analysis,Management,26-05-2025,74.48,9,TRUE
188,37613,Forensic Analysis,Legal,19-09-2025,102.18,6,TRUE
189,35190,Forensic Analysis,Legal,24-10-2022,112.59,7,TRUE
190,10522,Password Reset,IT,14-09-2024,35.98,5,TRUE
191,34255,Forensic Analysis,Third-Party,08-01-2025,80.17,4,FALSE
192,35791,Backup Restored,IT,06-04-2024,27.82,2,FALSE
193,37185,Backup Restored,SOC,24-04-2025,9.85,10,TRUE
194,16567,Password Reset,Management,21-01-2025,45.38,9,FALSE
195,19970,Patch Applied,Third-Party,08-09-2024,54.64,9,FALSE
196,35942,Password Reset,SOC,22-08-2025,95.11,1,FALSE
197,35205,Backup Restored,Third-Party,26-08-2023,73.37,5,FALSE
198,35431,Password Reset,SOC,,90.62,3,FALSE
199,1842,Patch Applied,Third-Party,27-12-2024,7.01,4,FALSE
200,871,Backup Restored,Third-Party,,1.16,5,TRUE
201,14559,Account Locked,IT,,38.64,2,FALSE
202,9603,Forensic Analysis,SOC,09-10-2023,71.14,3,FALSE
203,26953,Legal Notified,Management,20-03-2023,44.23,9,FALSE
204,43030,Forensic Analysis,Third-Party,31-05-2023,6.03,4,FALSE
205,36913,Backup Restored,Legal,,50.92,3,TRUE
206,20127,Account Locked,IT,14-09-2024,100.34,3,FALSE
207,37624,Backup Restored,Management,,96.85,10,TRUE
208,26250,Forensic Analysis,Third-Party,04-11-2023,89.2,10,TRUE
209,1442,Patch Applied,Management,01-01-2023,105.77,7,FALSE
210,17815,Forensic Analysis,SOC,10-08-2024,40.76,4,TRUE
211,18799,Password Reset,Legal,07-07-2025,18.63,6,FALSE
212,32162,Legal Notified,Legal,20-07-2023,35.58,8,TRUE
213,8195,Patch Applied,SOC,13-11-2024,19.35,6,FALSE
214,48102,Legal Notified,Legal,,63.29,5,FALSE
215,40409,Patch Applied,SOC,,63.45,6,FALSE
216,24621,Backup Restored,Legal,18-05-2025,104.64,6,FALSE
217,30140,Account Locked,IT,25-08-2025,86.74,1,FALSE
218,9939,Backup Restored,Management,04-10-2024,57.89,3,FALSE
219,31922,Forensic Analysis,Legal,,2.94,2,FALSE
220,48049,Patch Applied,Legal,30-03-2025,76.76,10,FALSE
221,21654,Legal Notified,SOC,,109.48,9,FALSE
222,13966,Legal Notified,Management,31-12-2023,0.66,9,FALSE
223,47841,Legal Notified,Legal,,61.25,1,FALSE
224,798,Backup Restored,Legal,09-09-2025,118.77,10,FALSE
225,43534,Account Locked,Legal,30-03-2025,47.55,4,FALSE
226,19969,Backup Restored,SOC,16-03-2025,69.02,7,FALSE
227,6788,Forensic Analysis,IT,,75.5,6,TRUE
228,799,Legal Notified,Third-Party,01-11-2025,8.86,4,FALSE
229,29927,Account Locked,IT,21-07-2025,108.83,6,FALSE
230,22955,Forensic Analysis,Management,22-10-2023,3.48,9,FALSE
231,31259,Patch Applied,Legal,10-11-2023,73.54,9,FALSE
232,29948,Backup Restored,IT,,48.27,10,FALSE
233,21398,Password Reset,SOC,24-11-2024,8.79,2,TRUE
234,2942,Account Locked,IT,08-01-2025,25.83,7,TRUE
235,9364,Backup Restored,IT,14-08-2023,88.44,8,TRUE
236,15392,Account Locked,IT,10-10-2023,49.81,10,FALSE
237,20450,Account Locked,Legal,28-12-2022,5.36,1,FALSE
238,37599,Backup Restored,SOC,16-01-2025,103.63,5,FALSE
239,8074,Patch Applied,Third-Party,29-08-2024,116.34,3,FALSE
240,11711,Legal Notified,IT,09-09-2023,49.72,6,FALSE
241,45506,Legal Notified,Third-Party,11-01-2025,21.94,9,FALSE
242,38226,Account Locked,Third-Party,23-05-2025,95.91,4,FALSE
243,43190,Backup Restored,SOC,18-08-2025,79.3,6,FALSE
244,13961,Password Reset,SOC,,111.77,2,FALSE
245,6438,Forensic Analysis,Third-Party,28-10-2024,17.23,7,TRUE
246,15726,Account Locked,IT,18-07-2024,113.65,7,FALSE
247,19678,Patch Applied,Management,,11.12,6,FALSE
248,35264,Account Locked,SOC,10-01-2024,71.05,1,TRUE
249,34177,Patch Applied,Management,26-10-2023,107.15,7,FALSE
250,31144,Legal Notified,IT,28-11-2024,27.76,9,FALSE
251,14620,Password Reset,SOC,14-11-2024,79.9,1,FALSE
252,33985,Legal Notified,Management,25-02-2024,115.4,4,FALSE
253,23676,Legal Notified,SOC,08-04-2023,29.47,5,FALSE
